match_id,match_name,home_team,away_team,bowling_team,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain
1298136,NED v UAE,UAE,NED,UAE,Simonds Stadium,Geelong,2,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,FALSE
1298135,NAM v SL,NAM,SL,NAM,Simonds Stadium,Geelong,2,David Wiese,4,0,16,2,4,13,1,0,0,0,FALSE
1298135,NAM v SL,NAM,SL,NAM,Simonds Stadium,Geelong,2,Bernard Scholtz,4,0,18,2,4.5,10,1,0,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,BAN,Adelaide Oval,Adelaide,2,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,TRUE
1298169,BAN v INDIA,INDIA,BAN,BAN,Adelaide Oval,Adelaide,1,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0,TRUE
1298162,BAN v ZIM,BAN,ZIM,BAN,Brisbane Cricket Ground,Brisbane,2,Shakib Al Hasan,4,0,34,0,8.5,5,3,0,0,0,TRUE
1298178,ENG v INDIA,INDIA,ENG,ENG,Adelaide Oval,Adelaide,1,Sam Curran,4,0,42,0,10.5,9,5,2,0,0,FALSE
1298178,ENG v INDIA,INDIA,ENG,INDIA,Adelaide Oval,Adelaide,2,Axar Patel,4,0,30,0,7.5,10,2,2,0,0,FALSE
1298177,NZ v PAK,NZ,PAK,PAK,Sydney Cricket Ground,Sydney,1,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,FALSE
1298176,INDIA v ZIM,INDIA,ZIM,ZIM,Melbourne Cricket Ground,Melbourne,1,Tendai Chatara,4,0,34,0,8.5,5,3,1,0,0,FALSE
1298175,BAN v PAK,BAN,PAK,PAK,Adelaide Oval,Adelaide,1,Shaheen Shah Afridi,4,0,22,4,5.5,13,2,1,0,0,FALSE
1298174,NED v SA,NED,SA,SA,Adelaide Oval,Adelaide,1,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0,FALSE
1298173,ENG v SL,SL,ENG,ENG,Sydney Cricket Ground,Sydney,1,Sam Curran,4,0,27,1,6.75,10,2,1,0,0,FALSE
1298173,ENG v SL,SL,ENG,SL,Sydney Cricket Ground,Sydney,2,Wanindu Hasaranga de Silva,4,0,23,2,5.75,11,1,1,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AFG,Adelaide Oval,Adelaide,1,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0,FALSE
1298172,AUS v AFG,AUS,AFG,AUS,Adelaide Oval,Adelaide,2,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,IRE,Adelaide Oval,Adelaide,1,Barry McCarthy,4,0,46,0,11.5,4,4,2,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Trent Boult,4,0,38,0,9.5,8,4,1,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Tim Southee,4,0,29,2,7.25,8,2,1,0,0,FALSE
1298171,IRE v NZ,NZ,IRE,NZ,Adelaide Oval,Adelaide,2,Mitchell Santner,4,0,26,2,6.5,12,3,1,0,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0,FALSE
1298170,PAK v SA,PAK,SA,SA,Sydney Cricket Ground,Sydney,1,Kagiso Rabada,4,0,44,1,11,7,4,2,0,0,FALSE
1298169,BAN v INDIA,INDIA,BAN,INDIA,Adelaide Oval,Adelaide,2,Arshdeep Singh,4,0,38,2,9.5,10,5,1,0,0,FALSE
1298168,NED v ZIM,ZIM,NED,ZIM,Adelaide Oval,Adelaide,2,Richard Ngarava,4,0,18,2,4.5,15,1,1,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,NZ,Brisbane Cricket Ground,Brisbane,1,Tim Southee,4,0,43,1,10.75,9,3,3,0,0,FALSE
1298167,ENG v NZ,ENG,NZ,ENG,Brisbane Cricket Ground,Brisbane,2,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,FALSE
1298165,AUS v IRE,AUS,IRE,IRE,Brisbane Cricket Ground,Brisbane,1,George Dockrell,4,0,24,0,6,8,0,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,SA,Perth Stadium,Perth,1,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0,FALSE
1298164,INDIA v SA,INDIA,SA,INDIA,Perth Stadium,Perth,2,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,FALSE
1298162,BAN v ZIM,BAN,ZIM,ZIM,Brisbane Cricket Ground,Brisbane,1,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,FALSE
1298158,PAK v ZIM,ZIM,PAK,ZIM,Perth Stadium,Perth,2,Brad Evans,4,0,25,2,6.25,12,2,1,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Paul van Meekeren,4,0,32,1,8,9,3,1,0,0,FALSE
1298157,INDIA v NED,INDIA,NED,NED,Sydney Cricket Ground,Sydney,1,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0,FALSE
1298156,BAN v SA,SA,BAN,BAN,Sydney Cricket Ground,Sydney,1,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,FALSE
1298149,IRE v SL,IRE,SL,SL,"Bellerive Oval, Hobart",Hobart,1,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,FALSE
1298149,IRE v SL,IRE,SL,SL,"Bellerive Oval, Hobart",Hobart,1,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,ENG,Perth Stadium,Perth,1,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,FALSE
1298148,AFG v ENG,AFG,ENG,ENG,Perth Stadium,Perth,1,Adil Rashid,4,0,32,0,8,4,1,1,0,0,FALSE
1298147,AUS v NZ,NZ,AUS,AUS,Sydney Cricket Ground,Sydney,1,Mitchell Starc,4,0,36,0,9,5,3,1,0,0,FALSE
1298147,AUS v NZ,NZ,AUS,NZ,Sydney Cricket Ground,Sydney,2,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,FALSE
1298146,SCOT v ZIM,SCOT,ZIM,SCOT,"Bellerive Oval, Hobart",Hobart,2,Michael Leask,4,0,36,1,9,4,2,1,0,0,FALSE
1298145,IRE v WI,WI,IRE,WI,"Bellerive Oval, Hobart",Hobart,2,Akeal Hosein,4,0,38,1,9.5,5,2,2,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,NAM,Simonds Stadium,Geelong,1,Bernard Scholtz,4,0,22,1,5.5,11,1,1,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,NAM,Simonds Stadium,Geelong,1,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,FALSE
1298144,NAM v UAE,UAE,NAM,UAE,Simonds Stadium,Geelong,2,Karthik Meiyappan,4,0,34,1,8.5,8,2,2,0,0,FALSE
1298143,NED v SL,SL,NED,NED,Simonds Stadium,Geelong,1,Fred Klaassen,4,0,34,1,8.5,9,1,2,0,0,FALSE
1298142,WI v ZIM,WI,ZIM,WI,"Bellerive Oval, Hobart",Hobart,2,Alzarri Joseph,4,0,16,4,4,16,1,1,0,0,FALSE
