match_id,match_name,home_team,away_team,venue,city,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut
1298167,ENG v NZ,ENG,NZ,Brisbane Cricket Ground,Brisbane,NZ,2,GD Phillips,Glenn Phillips,62,36,64,4,3,172.22,0,0
1298166,AFG v SL,AFG,SL,Brisbane Cricket Ground,Brisbane,AFG,1,Rahmanullah Gurbaz,Rahmanullah Gurbaz,28,24,33,2,2,116.66,0,0
1298166,AFG v SL,AFG,SL,Brisbane Cricket Ground,Brisbane,SL,2,DM de Silva,Dhananjaya de Silva,66,42,78,6,2,157.14,0,1
1298165,AUS v IRE,AUS,IRE,Brisbane Cricket Ground,Brisbane,AUS,1,AJ Finch,Aaron Finch,63,44,87,5,3,143.18,1,0
1298165,AUS v IRE,AUS,IRE,Brisbane Cricket Ground,Brisbane,AUS,1,MR Marsh,Mitchell Marsh,28,22,28,2,2,127.27,0,0
1298164,INDIA v SA,INDIA,SA,Perth Stadium,Perth,INDIA,1,SA Yadav,Suryakumar Yadav,68,40,68,6,3,170,0,0
1298164,INDIA v SA,INDIA,SA,Perth Stadium,Perth,SA,2,DA Miller,David Miller,59,46,78,4,3,128.26,0,1
1298161,NZ v SL,NZ,SL,Sydney Cricket Ground,Sydney,NZ,1,GD Phillips,Glenn Phillips,104,64,87,10,4,162.5,0,0
1298161,NZ v SL,NZ,SL,Sydney Cricket Ground,Sydney,SL,2,PBB Rajapaksa,Bhanuka Rajapaksa,34,22,38,3,2,154.54,0,0
1298157,INDIA v NED,INDIA,NED,Sydney Cricket Ground,Sydney,INDIA,1,RG Sharma,Rohit Sharma,53,39,53,4,3,135.89,1,0
1298157,INDIA v NED,INDIA,NED,Sydney Cricket Ground,Sydney,INDIA,1,V Kohli,Virat Kohli,62,44,79,3,2,140.9,0,1
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,SA,1,Q de Kock,Quinton de Kock,63,38,77,7,3,165.78,0,0
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,SA,1,RR Rossouw,Rilee Rossouw,109,56,90,7,8,194.64,0,0
1298156,BAN v SA,SA,BAN,Sydney Cricket Ground,Sydney,BAN,2,Soumya Sarkar,Soumya Sarkar,15,6,11,0,2,250,0,0
1298154,ENG v IRE,IRE,ENG,Melbourne Cricket Ground,Melbourne,IRE,1,A Balbirnie,Andy Balbirnie,62,47,74,5,2,131.91,1,0
1298153,AUS v SL,SL,AUS,Perth Stadium,Perth,SL,1,KIC Asalanka,Charith Asalanka,38,25,45,3,2,152,0,1
1298153,AUS v SL,SL,AUS,Perth Stadium,Perth,AUS,2,GJ Maxwell,Glenn Maxwell,23,12,21,2,2,191.66,0,0
1298153,AUS v SL,SL,AUS,Perth Stadium,Perth,AUS,2,MP Stoinis,Marcus Stoinis,59,18,22,4,6,327.77,0,1
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,BAN,1,Afif Hossain,Afif Hossain,38,27,47,2,2,140.74,0,0
1298151,BAN v NED,BAN,NED,"Bellerive Oval, Hobart",Hobart,NED,2,CN Ackermann,Colin Ackermann,62,48,77,6,2,129.16,0,0
1298150,INDIA v PAK,PAK,INDIA,Melbourne Cricket Ground,Melbourne,PAK,1,Iftikhar Ahmed,Iftikhar Ahmed,51,34,43,2,4,150,0,0
1298150,INDIA v PAK,PAK,INDIA,Melbourne Cricket Ground,Melbourne,INDIA,2,V Kohli,Virat Kohli,82,53,98,6,4,154.71,0,1
1298150,INDIA v PAK,PAK,INDIA,Melbourne Cricket Ground,Melbourne,INDIA,2,HH Pandya,Hardik Pandya,40,37,61,1,2,108.1,0,0
1298149,IRE v SL,IRE,SL,"Bellerive Oval, Hobart",Hobart,SL,2,BKG Mendis,Kusal Mendis,68,43,68,5,3,158.13,0,1
1298147,AUS v NZ,NZ,AUS,Sydney Cricket Ground,Sydney,NZ,1,FH Allen,Finn Allen,42,16,24,5,3,262.5,0,0
1298147,AUS v NZ,NZ,AUS,Sydney Cricket Ground,Sydney,NZ,1,DP Conway,Devon Conway,92,58,106,7,2,158.62,0,1
1298147,AUS v NZ,NZ,AUS,Sydney Cricket Ground,Sydney,NZ,1,JDS Neesham,James Neesham,26,13,19,0,2,200,0,1
1298146,SCOT v ZIM,SCOT,ZIM,"Bellerive Oval, Hobart",Hobart,ZIM,2,Sikandar Raza,Sikandar Raza,40,23,34,3,2,173.91,0,0
1298145,IRE v WI,WI,IRE,"Bellerive Oval, Hobart",Hobart,WI,1,OF Smith,Odean Smith,19,12,18,1,2,158.33,0,1
1298145,IRE v WI,WI,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,PR Stirling,Paul Stirling,66,48,79,6,2,137.5,0,1
1298145,IRE v WI,WI,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,A Balbirnie,Andy Balbirnie,37,23,34,3,3,160.86,1,0
1298145,IRE v WI,WI,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,LJ Tucker,Lorcan Tucker,45,35,46,2,2,128.57,0,1
1298144,NAM v UAE,UAE,NAM,Simonds Stadium,Geelong,UAE,1,Muhammad Waseem,Muhammad Waseem,50,41,66,1,3,121.95,0,0
1298144,NAM v UAE,UAE,NAM,Simonds Stadium,Geelong,UAE,1,Basil Hameed,Basil Hameed,25,14,13,2,2,178.57,0,1
1298144,NAM v UAE,UAE,NAM,Simonds Stadium,Geelong,NAM,2,D Wiese,David Wiese,55,36,65,3,3,152.77,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,SL,1,BKG Mendis,Kusal Mendis,79,44,94,5,5,179.54,0,0
1298143,NED v SL,SL,NED,Simonds Stadium,Geelong,NED,2,MP O'Dowd,Max O'Dowd,71,53,99,6,3,133.96,0,1
1298142,WI v ZIM,WI,ZIM,"Bellerive Oval, Hobart",Hobart,WI,1,J Charles,Johnson Charles,45,36,60,3,2,125,0,0
1298142,WI v ZIM,WI,ZIM,"Bellerive Oval, Hobart",Hobart,WI,1,R Powell,Rovman Powell,28,21,40,1,2,133.33,0,0
1298141,IRE v SCOT,SCOT,IRE,"Bellerive Oval, Hobart",Hobart,SCOT,1,MA Jones,Michael Jones,86,55,95,6,4,156.36,0,0
1298141,IRE v SCOT,SCOT,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,C Campher,Curtis Campher,72,32,48,7,2,225,0,1
1298140,SL v UAE,SL,UAE,Simonds Stadium,Geelong,SL,1,P Nissanka,Pathum Nissanka,74,60,105,6,2,123.33,0,0
1298139,NAM v NED,NAM,NED,Simonds Stadium,Geelong,NED,2,Vikramjit Singh,Vikramjit Singh,39,31,37,3,2,125.8,0,0
1298138,IRE v ZIM,ZIM,IRE,"Bellerive Oval, Hobart",Hobart,ZIM,1,Sikandar Raza,Sikandar Raza,82,48,72,5,5,170.83,0,0
1298138,IRE v ZIM,ZIM,IRE,"Bellerive Oval, Hobart",Hobart,IRE,2,BJ McCarthy,Barry McCarthy,22,16,23,1,2,137.5,0,1
1298136,NED v UAE,UAE,NED,Simonds Stadium,Geelong,UAE,1,Muhammad Waseem,Muhammad Waseem,41,47,71,1,2,87.23,0,0
1298135,NAM v SL,NAM,SL,Simonds Stadium,Geelong,NAM,1,JN Loftie-Eaton,Jan Nicol Loftie-Eaton,20,12,18,1,2,166.66,0,0
1298135,NAM v SL,NAM,SL,Simonds Stadium,Geelong,NAM,1,JJ Smit,JJ Smit,31,16,29,2,2,193.75,0,1
